"Defunciones por edad, según sexo y causas de muerte, año 2009",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
80 - 84 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",703,328,375
80 - 84 años,Otras causas,1817,906,911
85 y más,Todas las causas,7408,3485,3923
85 y más,"Neumonía, organismo no especificado",956,478,478
85 y más,Infarto agudo del miocardio,790,368,422
85 y más,Insuficiencia cardíaca,518,249,269
85 y más,"Desnutrición proteicocalórica, no especificada",430,176,254
85 y más,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",349,161,188
85 y más,"Diabetes mellitus, no especificada",232,91,141
85 y más,Otras enfermedades pulmonares obstructivas crónicas,176,87,89
85 y más,Tumor maligno del estómago,153,72,81
85 y más,Diarrea y gastroenteritis de presunto origen infeccioso,140,69,71
85 y más,Tumor maligno de la próstata,140,140,0
85 y más,Otras enfermedades cerebrovasculares,139,48,91
85 y más,Exposición a factores no especificados,136,81,55
85 y más,Hipertensión esencial (primaria),116,38,78
85 y más,Tumor maligno del hígado y de las vías biliares intrahepáticas,95,49,46
85 y más,Insuficiencia renal crónica,86,46,40
85 y más,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",1144,497,647
85 y más,Otras causas,1808,835,973
Ignorado,Todas las causas,511,302,209
Ignorado,Hipoxia intrauterina,81,45,36
Ignorado,Otras afecciones originadas en el período perinatal,50,30,20
Ignorado,"Trastornos relacionados con duración corta de la gestación y con bajo peso al nacer, no clasificados en otra parte",37,20,17
Ignorado,"Neumonía, organismo no especificado",31,17,14
Ignorado,Síndromes de aspiración neonatal,20,10,10
Ignorado,Exposición a factores no especificados,19,16,3
Ignorado,"Agresión con disparo de otras armas de fuego, y las no especificadas",18,16,2
Ignorado,"Otras malformaciones congénitas, no clasificadas en otra parte",15,5,10
Ignorado,Dificultad respiratoria del recién nacido,11,7,4
Ignorado,Infarto agudo del miocardio,8,5,3
Ignorado,"Agresión por ahorcamiento, estrangulamiento y sofocación",8,7,1
Ignorado,Asfixia del nacimiento,7,1,6
Ignorado,Neumonía congénita,7,6,1
Ignorado,Sepsis bacteriana del recién nacido,7,6,1
Ignorado,Anencefalia y malformaciones congénitas similares,7,0,7
Ignorado,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",48,31,17
Ignorado,Otras causas,137,80,57
